district,local_I,z_local_I,p_perm,quadrant,significant
Achiase,0.2878580382992395,-0.3844432359712506,0.483,HH,0
Akwapim North Municipal,0.6407595708224798,-0.1383700636353637,0.082,HH,0
Akwapim South Municipal,0.5274355762829916,-0.2173892581362268,0.195,HH,0
Akyemansa,0.5167599481290457,-0.2248332203875009,0.162,HH,0
Asene Manso Akroso,0.3839086346424588,-0.3174685340538731,0.207,HH,0
Asuogyaman,0.2271261066634644,-0.4267907400266976,0.511,HH,0
Atiwa East,0.6413503756736911,-0.1379581038942724,0.068,HH,0
Atiwa West,0.5233095694389123,-0.2202662634752028,0.096,HH,0
Ayensuano,0.2028965207236847,-0.4436856824599497,0.363,HH,0
Birim Central Municipal,0.7675165520990601,-0.0499842403281368,0.089,HH,0
Birim North,0.7015551781198124,-0.0959781594552474,0.115,HH,0
Birim South,0.4431556498263197,-0.2761564409227247,0.22,HH,0
Denkyembuor,0.693217983160013,-0.1017915658110429,0.08,HH,0
Fanteakwa North,0.2195622218434544,-0.432064928323742,0.413,HH,0
Fanteakwa South,0.5213506568804861,-0.2216321850798329,0.11,HH,0
Kwaebibirem Municipal,0.6534846101101373,-0.1294970764221205,0.112,HH,0
Kwahu Afram Plains North,-0.0670736273130101,-0.6319319909652935,0.81,LH,0
Kwahu Afram Plains South,-0.0038690335787032,-0.5878603351263447,0.979,LH,0
Kwahu East,0.2601178142142114,-0.4037860959840836,0.465,HH,0
Kwahu South Municipal,0.3112778147214415,-0.3681129620888924,0.305,HH,0
Kwahu West Municipal,0.684663883367123,-0.1077562167930433,0.108,HH,0
Lower Manya Krobo Municipal,0.4673446487118184,-0.2592897992597506,0.249,HH,0
New Juaben North Municipal,1.0553906504170174,0.1507462356772846,0.047,HH,1
New Juaben South Municipal,0.998756016119114,0.1112557182342918,0.049,HH,1
Nsawam Adoagyiri Municipal,0.3749534198994106,-0.3237128767321692,0.337,HH,0
Okere,0.5298506464736017,-0.2157052643633233,0.221,HH,0
Suhum Municipal,0.6739472226399141,-0.1152287904685857,0.09,HH,0
Upper Manya Krobo,0.1061301987642853,-0.5111594495744552,0.557,HH,0
Upper West Akim,0.1370460413375849,-0.489602276379273,0.591,HH,0
West Akim Municipal,0.3471472612290249,-0.343101711984808,0.265,HH,0
Yilo Krobo Municipal,0.557364130142853,-0.1965205071873016,0.113,HH,0
Ablekuma Central Municipal,0.4189363599843222,-0.2930442040348052,0.306,HH,0
Ablekuma North Municipal,0.4747451061663131,-0.254129566518499,0.129,HH,0
Ablekuma West Municipal,0.4370557374509649,-0.2804098222510578,0.219,HH,0
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",0.3624861712220213,-0.3324061102537424,0.338,HH,0
Ada East,0.0026080203892726,-0.5833439783797625,0.993,HH,0
Ada West,-0.0785225643412149,-0.6399151703928825,0.713,LH,0
Adentan Municipal,0.5107841436335532,-0.2290000630729122,0.151,HH,0
Ashaiman Municipal,0.4429452645449323,-0.2763031395591223,0.269,HH,0
Ayawaso Central Municipal,0.3464672075533667,-0.3435759036499203,0.298,HH,0
Ayawaso East Municipal,0.2940150397211158,-0.3801500472703545,0.292,HH,0
Ayawaso North Municipal,0.3753570799062605,-0.3234314104043795,0.238,HH,0
Ayawaso West Municipal,0.4994633444506255,-0.2368938938205501,0.108,HH,0
Ga Central Municipal,0.3846630267415012,-0.3169425072733454,0.28,HH,0
Ga East Municipal,0.5038814471220007,-0.2338132142545601,0.202,HH,0
Ga North Municipal,0.4644929662452334,-0.2612782365046384,0.267,HH,0
Ga South Municipal,0.1273647925511097,-0.4963528721730275,0.63,HH,0
Ga West Municipal,0.3663593813162957,-0.3297053764592279,0.295,HH,0
