district,region,Local_R2,latitude,longitude
Cape Coast Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,Central,0.8567020992065681,5.1115501,-1.2484127
Effutu Municipal,Central,0.9244177675690053,5.38339225,-0.597395635326539
Ekumfi,Central,0.8989288845353869,5.28914455,-0.908864632637807
Gomoa Central,Central,0.919094053983875,5.47699369999999,-0.589745989100534
Gomoa East,Central,0.919094053983875,5.47699369999999,-0.589745989100534
Gomoa West,Central,0.9119663367357673,5.38725545,-0.833638570821268
Komenda Edina Eguafo Abirem Municipal,Central,0.8837920122742753,5.1302015,-1.43995928979516
Mfantsiman Municipal,Central,0.8825413219004358,5.27644145,-1.03472089878279
Twifo Ati Morkwa,Central,0.9464925370437959,5.61529845,-1.57822136908747
Twifo Heman Lower Denkyira,Central,0.9307505688260016,5.49471475,-1.53636464977824
Upper Denkyira East Municipal,Central,0.9651225724440479,5.83523424999999,-1.73920835777296
Upper Denkyira West,Central,0.9450928273425914,6.10783305,-2.06931071266353
Abuakwa North Municipal,Eastern,0.6682831059088408,6.2336986,-0.382588987736012
Abuakwa South Municipal,Eastern,0.7251747597364968,6.1727705,-0.470361048613095
Achiase,Eastern,0.9352459225106422,5.8354534,-0.9966928
Akwapim North Municipal,Eastern,0.6449127086136561,5.9014961,-0.14597334325382
Akwapim South Municipal,Eastern,0.9751376279207145,8.25846,0.508747
Akyemansa,Eastern,0.8855611962222492,6.0815994,-1.11546439579942
Asene Manso Akroso,Eastern,0.9257619617822385,5.85516295,-0.8089562448565
Asuogyaman,Eastern,0.8309306604442195,6.36279085,0.0952598707485648
Atiwa East,Eastern,0.5758597841731181,6.3954833,-0.597296233359515
Atiwa West,Eastern,0.7271954654319317,6.20778059999999,-0.635808682575408
Ayensuano,Eastern,0.8352053850708092,5.94469995,-0.449937193103216
Birim Central Municipal,Eastern,0.9194877680121513,5.97391735,-1.00480959493596
Birim North,Eastern,0.6941876453432123,6.3681437,-1.02271793293055
Birim South,Eastern,0.9261930543277135,5.9375343,-1.0087951
Denkyembuor,Eastern,0.8741003923379159,6.05,-0.8
Fanteakwa North,Eastern,0.6164430796405582,6.49761694999999,-0.362546050326661
Fanteakwa South,Eastern,0.6165244102420813,6.37117379999999,-0.311872167608319
Kwaebibirem Municipal,Eastern,0.7563128802935204,6.23359759999999,-0.87590978580917
Kwahu Afram Plains North,Eastern,0.944352576228968,6.8753584,0.0047456123339843
Kwahu Afram Plains South,Eastern,0.8636916422783522,6.8854777,-0.460380290065423
Kwahu East,Eastern,0.8224218005993839,6.73342465,-0.81009459846416
Kwahu South Municipal,Eastern,0.9751376279207145,8.25846,0.508747
Kwahu West Municipal,Eastern,0.5938313024876151,6.49118254999999,-0.728456087972531
Lower Manya Krobo Municipal,Eastern,0.8120866478592007,6.2127831,-0.0404975690174626
New Juaben North Municipal,Eastern,0.7555355823407758,6.1364245,-0.312846157003848
New Juaben South Municipal,Eastern,0.7123635065105063,6.0721368,-0.260652306105858
Nsawam Adoagyiri Municipal,Eastern,0.7962080564192087,5.81791215,-0.36426765
Okere,Eastern,0.6810939836502472,6.04034605,-0.127770489495342
Suhum Municipal,Eastern,0.835596402691213,6.035885,-0.4552751
Upper Manya Krobo,Eastern,0.7040019362559011,6.40201115,-0.134429386146108
