district,region,intercept,working_age_prop,female_pop_prop,women_edu_secondary,women_literacy,no_insurance_women,women_anemia,wife_beating_justified,decision_autonomy,ipv_12months,Local_R2,latitude,longitude
Amansie South,Ashanti,54.842436385315935,3.7260159573274967,4.094494953353598,22.906149924849945,-3.6829602130271333,4.965850528270119,-12.75730999363731,-2.9310065794388915,-2.123950533914927,1.2578501794302088,0.937793278452522,6.30802585,-2.01186652006877
Amansie West,Ashanti,55.55515410237526,3.89938310670904,3.9977379450685606,21.656018498528162,-3.1518576491549197,4.458893621267908,-10.916143115916656,-5.897587307003236,-5.222440980696577,0.7803373622567968,0.9116959332058935,6.43975084999999,-1.85237045719587
Asante Akim Central Municipal,Ashanti,39.93549698820014,4.5239000464384915,3.9307981414123776,24.58076291689799,15.267918075884978,6.019428957469133,-14.682069127964343,-11.630379226054671,-1.9348932794831648,-8.119083889251328,0.7591292178755716,6.56465915,-1.25347851347396
Asante Akim North Municipal,Ashanti,35.82277647228177,4.942410372455237,5.05754650912918,2.371304839013149,-8.98165630935759,-18.455676249495696,-18.25104882817224,-12.830267870600169,-6.330776525409668,-20.311026929641095,0.8453919603134477,6.906722,-0.958978
Asante Akim South Municipal,Ashanti,39.87359082378907,4.573164515403963,3.6042722626461634,24.537333938714188,15.262028244688468,6.051293228159902,-14.632268737560697,-11.610832167314303,-1.9347625703037181,-8.069757462925134,0.7353940088602693,6.46141735,-1.11533920112058
Asokore Mampong Municipal,Ashanti,66.3155847185799,4.279172314943428,3.7445433003035156,2.8050798768084206,-6.603513513407901,5.369682456381046,-9.938576628654644,-12.115727450230752,-0.7728255988105612,-1.4115811296904548,0.7858768418437442,6.7077852,-1.5665013
Asokwa Municipal,Ashanti,66.39825788763818,4.190966747219081,3.7719526047580345,2.761404133534893,-6.502997876875845,5.374953084614423,-9.899614126690231,-12.285121744166227,-0.8834523722639425,-1.4465200326664283,0.7987879157069027,6.6739843,-1.6026178
Atwima Kwanwoma,Ashanti,65.71708405310986,3.97462861759484,3.7915899575165177,-10.78438531193699,2.7096421751029602,9.977174138837656,-25.812634881353457,-10.81757525129946,2.900068314860956,-1.017963612997515,0.8277350670228119,6.65,-1.73333
Atwima Mponua,Ashanti,54.963803520429,2.883663081412943,4.327157849136709,23.810216722266144,-2.8062475943727847,4.503426569664761,-12.873625978549146,-3.8673157307468955,-2.6468935202183665,2.1038419277064797,0.8826540460131579,6.5558963,-2.17659077213842
Atwima Nwabiagya North,Ashanti,65.8708596533093,4.198286398818545,3.389424030085605,8.494966803398043,-10.816621678127214,4.25739193105461,-6.251311260804288,-10.960634043501557,-0.06987273255953141,-1.1616799262104882,0.788137925763015,6.87764335,-1.74489585317473
Atwima Nwabiagya South Municipal,Ashanti,56.53741747316259,4.853242682470036,2.6574321237880376,12.364280869405778,-14.362002189694454,-9.359991746754355,-0.16298184805682503,-20.553695761024493,-9.74711616899992,-6.351052970161533,0.8213854954885618,7.0689359,-2.0226618
Bekwai Municipal,Ashanti,53.112751602664815,4.420305666419241,3.959233712314623,19.882272226898344,-1.1486669208845797,9.871692850056817,-7.4707025059734065,-6.946324957043604,-9.375757763333436,-9.568632314000071,0.8735312458371416,6.43631235,-1.59282285301503
Bosome Freho,Ashanti,40.20262390179997,4.891477648358233,3.9562340819194812,24.802058495930428,15.418077309934766,6.631377313828203,-14.4601881840541,-11.410140412572748,-1.4581779946153883,-7.947033879693203,0.8492505586340251,6.3681227,-1.36632312680072
