district_geojson,district_ms,match_method
EFFIA KWESIMINTSIM MUNICIPAL,Effia Kwesimintsim Municipal,title_case
NABDAM,Nabdam,title_case
BUILSA SOUTH,Builsa South,title_case
BUILSA NORTH,Builsa North Municipal,manual
BINDURI,Binduri,title_case
PUSIGA,Pusiga,title_case
BAWKU MUNICIPAL,Bawku Municipal,title_case
NORTH GONJA,North Gonja,title_case
WEST GONJA,West Gonja,title_case
MION,Mion,title_case
YENDI MUNICIPAL,Yendi Municipal,title_case
TOLON,Tolon,title_case
KUMBUNGU,Kumbungu,title_case
WEST MAMPRUSI MUNICIPAL,West Mamprusi Municipal,title_case
MAMPRUGU MOAGDURI,Mamprugu Moagduri,title_case
ZABZUGU,Zabzugu,title_case
TATALE SANGULI,Tatale Sanguli,title_case
SENE EAST,Sene East,title_case
BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,Bibiani Anhwiaso Bekwai Municipal,manual
SENE WEST,Sene West,title_case
UPPER DENKYIRA EAST MUNICIPAL,Upper Denkyira East Municipal,title_case
ASUTIFI NORTH,Asutifi North,title_case
AHAFO ANO NORTH,Ahafo Ano North Municipal,manual
AMANSIE CENTRAL,Amansie Central,title_case
AMANSIE WEST,Amansie West,title_case
ASUTIFI SOUTH,Asutifi South,title_case
TECHIMAN MUNICIPAL,Techiman Municipal,title_case
UPPER DENKYIRA WEST,Upper Denkyira West,title_case
TECHIMAN NORTH,Techiman North,title_case
CAPE COAST METROPOLITAN,Cape Coast Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,manual
KOMENDA-EDINA-EGUAFO-ABIREM MUNICIPAL,Komenda Edina Eguafo Abirem Municipal,manual
BANDA,Banda,title_case
SEFWI-WIAWSO,Sefwi Wiawso Municipal,manual
JAMAN NORTH,Jaman North,title_case
ASUNAFO SOUTH,Asunafo South,title_case
TAIN,Tain,title_case
NKORANZA SOUTH,Nkoranza South Municipal,manual
SEKYERE KUMAWU,Sekyere Kumawu,title_case
BOLE,Bole,title_case
SEKYERE AFRAM PLAINS NORTH,Sekyere Afram Plains,manual
ASANTE AKIM NORTH,Asante Akim North Municipal,manual
ASANTE AKIM CENTRAL MUNICIPAL,Asante Akim Central Municipal,title_case
KINTAMPO NORTH MUNICIPAL,Kintampo North Municipal,title_case
ASOKORE MAMPONG MUNICIPAL,Asokore Mampong Municipal,title_case
