district,composite_maternal_index,spatial_lag_composite
Suhum Municipal,79.31235298964772,81.16249384805894
Upper Manya Krobo,69.60426779290154,81.65686655570752
Upper West Akim,69.76301924699993,65.33096900057673
West Akim Municipal,76.90255212951926,74.62025194091639
Yilo Krobo Municipal,77.66196485163316,78.24010903852778
Ablekuma Central Municipal,77.1384698739657,76.77613125893137
Ablekuma North Municipal,78.59178643408912,76.98663422523464
Ablekuma West Municipal,77.6171426410744,77.24204528527264
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",75.20905329501242,77.11775667965324
Ada East,67.00767717506521,68.34060436038747
Ada West,59.85216187365581,69.14127987401622
Adentan Municipal,78.42938221265159,77.97080471458284
Ashaiman Municipal,78.03499360840352,77.29682295030025
Ayawaso Central Municipal,75.68654266554957,75.67751008112263
Ayawaso East Municipal,73.43707808507445,77.13818500995474
Ayawaso North Municipal,76.0350374063804,76.36958884066348
Ayawaso West Municipal,79.13871013947926,76.39666708168308
Ga Central Municipal,77.15588697951804,77.9367261069939
Ga East Municipal,78.1626942270482,78.34112058175356
Ga North Municipal,77.84956409609211,77.74857691030749
Ga South Municipal,71.99008953976104,71.96411828994322
Ga West Municipal,76.45540532273894,76.17158141532134
Korle Klottey Municipal,78.02887153802327,75.36778597990053
Kpone Katamanso Municipal,77.29216920759339,78.25510796584739
Krowor Municipal,76.29182565615233,78.4397434999137
La Dade-Kotopon Municipal,78.8022884298657,76.97923104199718
La Nkwantanang Madina Municipal,78.05034501743624,77.93345243584632
Ledzokuku Municipal,77.31226440541175,76.91747557764293
Ningo-Prampram,71.61430749941334,75.83726159195396
Okaikoi North Municipal,78.32586307400662,76.07434207412092
Shai-Osudoku,73.0618541957611,73.7513511229678
Tema Metropolitan Area (TMA)-Tema Central & Tema East,74.96002935605787,77.53117487426185
Tema West Municipal,78.50571102489815,76.92905770831634
Weija Gbawe Municipal,77.69078504591417,74.93270379941512
Bunkpurugu Nakpanduri,53.14508713994846,49.34933226231927
Chereponi,39.43206444872354,35.025456725243295
East Mamprusi Municipal,44.56378497807318,60.38324770003335
Mamprugu Moagduri,35.588015638297634,48.58561050487655
West Mamprusi Municipal,49.30980865215978,52.15217169592027
Yunyoo Nasuan,39.16428664007278,52.84453238728819
Gushegu Municipal,18.67965891445361,29.532833760418633
Karaga,19.532989615480997,29.712051074973747
Kpandai,20.44740692102803,23.624962194586274
Kumbungu,25.12518655388564,25.539654797321106
Mion,19.211996187646527,28.84951307935854
Nanton,24.526990577802653,30.820171265069604
Nanumba North Municipal,23.61273225477054,20.56461351902019
Nanumba South,22.090021452382523,20.949544303734257
Saboba,29.11279420649832,26.911246032611526
Sagnarigu Municipal,40.799877811914406,26.011462932036423
Savelugu Municipal,26.331746155478942,33.6919656583602
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,36.93706490523854,25.461743433453744
Tatale Sanguli,19.64927608970005,24.91808639159396
Tolon,17.456609691218855,25.983027429558067
Yendi Municipal,30.32126457962243,22.905598440861308
Zabzugu,23.648327279600338,23.91832359411889
Biakoye,34.17182992521478,46.02159564544892
Guan,41.53197747495985,58.032208918339336
Jasikan Municipal,37.36407778150249,57.80399477190784
Kadjebi,38.596000909769856,31.365489694180532
Krachi East Municipal,27.98282721986856,35.98038677345072
Krachi Nchumuru,22.53047808910869,23.10419440256611
Krachi West Municipal,33.78963847731576,24.225984020035398
Nkwanta North (Kpassa),16.08971075953813,22.752782578163888
Nkwanta South Municipal,25.943223850136302,26.29975424457131
Bole,33.76689590312026,52.82619550810733
Central Gonja,20.436659821759992,33.2132314745553
East Gonja Municipal,30.677110516016885,60.62882949915466
North East Gonja,17.308109156451387,26.072195981364565
North Gonja,17.570385530672226,29.742422423829133
Sawla Tuna Kalba,22.41284838637984,51.80059416060457
West Gonja,37.65937348984939,19.469125857507727
Bawku Municipal,84.26774385979908,74.06217475919001
Bawku West,74.98642403770455,75.91108401448162
