region,district_ms,Class,Latitude,Longitude,Employed Population,Unemployed Population,Incidence of Poverty,Intensity of Poverty,Illiterate Population,Uninsured Population,Male Population 0-14,Female Population 0-14,Male Population 15-64,Female Population 15-64,Male Population 65+,Female Population 65+,Total Population,latitude,longitude,total_population,poverty_rate,intensity_poverty,uninsured_rate,illiteracy_rate,female_pop_prop,working_age_prop,abr,anc_skilled,decision_autonomy,demand_fp_satisfied,facility_delivery,ipv_12months,modern_cpr,no_insurance_women,no_postnatal_checkup,sba,tfr,unmet_need_fp,wife_beating_justified,women_anemia,women_edu_secondary,women_literacy,pnc_coverage,district,composite_maternal_index,composite_pca,risk_label,data_source_dhs,data_source_census,data_source_geojson
Ashanti,Sekyere East,District,6.77947295,-1.29935419961981,23709,24423,17.3,42.5,12874,17639,13736,12921,20506,23780,1489,2357,74789,6.77947295,-1.29935419961981,74789,17.3,42.5,23.58501918731364,17.21376138202142,52.224257577986066,59.21459038093837,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Sekyere East,80.71210841860001,86.92513881821135,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Sekyere Kumawu,District,6.9098849,-1.23942940155571,20110,20475,23.9,42.9,13090,23038,12071,11740,17308,19228,1511,2538,64396,6.9098849,-1.23942940155571,64396,23.9,42.9,35.775514007081185,20.327349524815205,52.03118206099758,56.73644325734518,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Sekyere Kumawu,75.83289602239954,81.10420597365162,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Sekyere South,District,6.99532965,-1.50292100938884,36646,41020,22.6,42.8,21298,32338,21744,20666,33678,37497,2643,3848,120076,6.99532965,-1.50292100938884,120076,22.6,42.8,26.93127685798994,17.737099836770046,51.64312602018721,59.27495919251141,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Sekyere South,78.65828495529524,84.3182329937716,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Suame Municipal,Municipal,6.738487,-1.62476687694823,52028,40036,8.7,42.7,14098,32285,21799,22427,41237,46222,1842,2763,136290,6.738487,-1.62476687694823,136290,8.7,42.7,23.688458434221147,10.344119157678481,52.39709443099274,64.17125247633723,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Suame Municipal,84.43293871775825,91.67242524884455,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Banda,District,8.1645269,-2.3569966,7746,10025,35.7,43.7,11732,6648,5465,4943,8765,7659,583,764,28179,8.1645269,-2.3569966,28179,35.7,43.7,23.59203662301714,41.633840803435184,47.432485184002275,58.28453813123248,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Banda,69.48577936817424,74.45156467727887,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Berekum East Municipal,Municipal,7.4848835,-2.56459096524003,35109,37059,12.6,41.7,15663,12247,17184,16900,31142,36153,1837,3036,106252,7.4848835,-2.56459096524003,106252,12.6,41.7,11.526371268305539,14.741369574219778,52.78865339005383,63.335278394759634,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Berekum East Municipal,84.25095984293695,92.54597878858134,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Berekum West,District,7.47199419999999,-2.71078914019081,16162,16585,14.8,41.6,11329,6176,8505,8212,14064,15958,1024,1701,49464,7.47199419999999,-2.71078914019081,49464,14.8,41.6,12.485848293708555,22.903525796538897,52.30268478085072,60.694646611677186,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Berekum West,81.44105415310241,89.20247855736254,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Dormaa Central Municipal,Municipal,7.23948645,-2.85657511014467,39452,35163,15.8,41.7,24994,19538,19428,18659,33320,35322,2360,3613,112702,7.23948645,-2.85657511014467,112702,15.8,41.7,17.335983389824495,22.177068729924933,51.102908555305135,60.905751450728474,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Dormaa Central Municipal,80.37913814400486,87.98653143336567,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Dormaa East,District,7.26432845,-2.64146295349265,22570,22261,19.5,41.7,16759,9261,11782,11286,19943,21068,1611,2209,67899,7.26432845,-2.64146295349265,67899,19.5,41.7,13.639376132196352,24.6822486340005,50.90354791675872,60.40000589110296,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Dormaa East,79.66232431013776,86.91690028011428,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Dormaa West,District,6.97538415,-2.9463116043167,17716,12431,23.2,40.8,14423,9745,9360,8406,15341,13222,821,763,47913,6.97538415,-2.9463116043167,47913,23.2,40.8,20.338947675996078,30.102477406966795,46.73261953958216,59.61430092041826,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Dormaa West,76.0081767039929,82.59295523844742,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Jaman North,District,7.9132614,-2.69723280400663,36119,38856,14.5,42.4,30773,8231,21157,20397,34679,35066,2077,3153,116529,7.9132614,-2.69723280400663,116529,14.5,42.4,7.06347776090072,26.408018604810817,50.3016416514344,59.85205399514284,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Jaman North,81.74678078802586,89.50242182100828,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Jaman South,Municipal,7.62036559999999,-2.7963718064665,35814,35016,15.6,42.1,28919,9686,19952,18986,31156,34312,2169,3193,109768,7.62036559999999,-2.7963718064665,109768,15.6,42.1,8.824065301362873,26.3455651920414,51.463996793236646,59.64215436192697,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Jaman South,81.1404402077062,88.76726474049983,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Sunyani Municipal,Municipal,7.3384389,-2.3309226,64799,68142,10.9,41.5,28006,21645,30599,30055,62754,63470,3005,3712,193595,7.3384389,-2.3309226,193595,10.9,41.5,11.18055734910509,14.46628270358222,50.22702032593816,65.20003099253596,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Sunyani Municipal,84.78439335923849,93.24687035629663,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Sunyani West Municipal,Municipal,7.35779433737633,-2.34687996021684,40876,51557,17.6,43.1,28330,21227,22089,21500,42769,43997,2393,3274,136022,7.35779433737633,-2.34687996021684,136022,17.6,43.1,15.605563805854935,20.8275131963947,50.558733146108715,63.7882107306171,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Sunyani West Municipal,80.67807606558529,88.21348497816844,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Tain,District,7.9614185,-2.1422727,39176,34283,21.5,41.9,42235,22022,21764,20345,34230,33737,2388,3104,115568,7.9614185,-2.1422727,115568,21.5,41.9,19.055447874844248,36.54558355254049,49.482555724768105,58.81126263325488,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Tain,75.00725691976004,81.51360364256041,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono,Wenchi Municipal,Municipal,7.80281055,-2.08141333112632,38543,39547,23.6,42.2,42124,25271,23537,23131,35042,37424,2381,3243,124758,7.80281055,-2.08141333112632,124758,23.6,42.2,20.25601564629122,33.76456820404303,51.13740201029192,58.085253049904615,36.0,98.8,71.3,46.7,90.7,18.3,22.2,1.5,5.9,91.3,3.7,15.8,17.2,30.1,77.4,61.5,94.1,Wenchi Municipal,74.99003929652022,81.39717480044217,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Atebubu Amantin Municipal,Municipal,7.72813859999999,-1.09550967027384,47541,38871,28.8,41.5,59415,36951,29821,28714,41262,40752,1910,2488,144947,7.72813859999999,-1.09550967027384,144947,28.8,41.5,25.492766321483025,40.99084492952596,49.6415931340421,56.58206102920378,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Atebubu Amantin Municipal,62.54950369482578,62.86025872135286,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Kintampo North Municipal,Municipal,8.053714,-1.728919,40030,45840,28.1,43.4,56833,30289,27626,26754,39911,40681,2394,2884,140250,8.053714,-1.728919,140250,28.1,43.4,21.59643493761141,40.52263814616756,50.138324420677364,57.46310160427808,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Kintampo North Municipal,63.64997860219337,64.11671471866659,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Kintampo South,District,7.94321545,-1.73400515142892,28927,25110,26,42.3,35811,16394,17639,16708,25454,24559,1961,2063,88384,7.94321545,-1.73400515142892,88384,26.0,42.3,18.548606082548876,40.51751448225923,49.02471035481535,56.586033671252714,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Kintampo South,64.77371159804423,65.48516093939821,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Nkoranza North,District,7.7184776,-1.64389618122841,18832,16615,25.8,41.4,19620,10022,10941,10080,16455,15957,1348,1687,56468,7.7184776,-1.64389618122841,56468,25.8,41.4,17.748105121484734,34.745342494864346,49.09683360487356,57.398880782035846,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Nkoranza North,66.47559315797815,67.44720859046336,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Nkoranza South Municipal,Municipal,7.45296465,-1.67701851419084,38611,33973,18,41.6,34349,16840,21684,20374,33264,34501,2164,2655,114642,7.45296465,-1.67701851419084,114642,18.0,41.6,14.689206399050958,29.96196856300483,50.1823066589906,59.11009926553968,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Nkoranza South Municipal,70.14022182962856,72.0472770449312,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Pru East,District,7.9636217,-0.9549861,32906,27206,30.3,41.2,44232,28477,20812,19916,28721,28766,1175,1450,100840,7.9636217,-0.9549861,100840,30.3,41.2,28.239785799286,43.86354621182071,49.71439904799683,57.00813169377231,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Pru East,60.88752674202996,60.8995877418746,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Pru West,District,8.03487795,-1.31329234137589,23430,18389,38.3,40.8,33051,28780,14399,13602,20066,19335,1124,1294,69820,8.03487795,-1.31329234137589,69820,38.3,40.8,41.2202807218562,47.33743912918935,49.027499283872814,56.43225436837582,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Pru West,55.42830895756954,54.345649416093664,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Sene East,District,7.6658435,-0.182426172494555,23216,17927,49.5,41.5,35965,31452,16311,14627,21108,18084,1014,937,72081,7.6658435,-0.182426172494555,72081,49.5,41.5,43.63424480792442,49.89525672507318,46.68081741374287,54.37216464810422,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Sene East,51.693260509159224,49.47539678684887,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Sene West,District,7.74897775,-0.618112944814146,25949,16360,26.8,41,33389,14249,14065,13730,20496,19425,1064,1324,70104,7.74897775,-0.618112944814146,70104,26.8,41.0,20.325516375670432,47.627810110692685,49.18264293050325,56.945395412529955,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Sene West,62.38405289536926,62.71080839193217,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Techiman Municipal,Municipal,7.5279454,-1.97466940505838,89186,68047,9.8,41.4,57462,28058,43306,42796,71814,77235,3579,4605,243335,7.5279454,-1.97466940505838,243335,9.8,41.4,11.530605954753735,23.614358805761604,51.21992315121129,61.25259416031397,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Techiman Municipal,74.32069729610234,77.26190801158502,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Bono East,Techiman North,District,7.70365499999999,-1.98577027897075,34326,31765,15,41.8,27555,15369,18455,17983,30106,31934,1687,2364,102529,7.70365499999999,-1.98577027897075,102529,15.0,41.8,14.989905295087244,26.8753230793239,50.99142681582771,60.5097094480586,92.0,99.2,57.4,42.3,86.2,24.6,17.7,6.8,14.4,87.6,4.7,21.8,19.0,40.3,57.8,44.9,85.6,Techiman North,71.56044948759182,73.84755913671157,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Abura Asebu Kwamankese,District,5.2698722,-1.18890498156872,39299,40203,28,44.1,33503,44229,22987,21976,33681,37927,2976,4918,124465,5.2698722,-1.18890498156872,124465,28.0,44.1,35.53529104567549,26.917607359498653,52.079701120797004,57.53263969790704,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Abura Asebu Kwamankese,59.45868272007626,59.040712844699286,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Agona East,District,5.63553575,-0.654757357749996,32681,31928,25.9,43.6,22438,53181,17280,16748,27957,31096,2242,3314,98637,5.63553575,-0.654757357749996,98637,25.9,43.6,53.91587335381246,22.748056003325324,51.86491884384156,59.86901466995144,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Agona East,57.14995579502261,56.72331738359969,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Agona West Municipal,Municipal,4.8901537,-1.9664135,47040,43603,21,43.7,26617,49785,23329,22597,39083,44191,2961,4408,136569,4.8901537,-1.9664135,136569,21.0,43.7,36.45410012521143,19.489781722059913,52.13188937460185,60.9757704896426,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Agona West Municipal,62.78503976462648,63.2585081674763,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Ajumako Enyan Essiam,District,5.41243515,-0.984801059019988,38466,38589,29.6,43.5,29157,49126,22490,21041,31659,36846,3112,5438,120586,5.41243515,-0.984801059019988,120586,29.6,43.5,40.739389315509264,24.179423813709715,52.51438807158376,56.81007745509429,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Ajumako Enyan Essiam,58.70325007273042,58.150545298097654,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Asikuma Odoben Brakwa,District,5.62649825,-1.02551876426311,43495,36507,29,42.3,32209,46532,24263,22728,34621,38201,2939,4241,126993,5.62649825,-1.02551876426311,126993,29.0,42.3,36.641389682895905,25.36281527328278,51.317789169481784,57.34331813564527,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Asikuma Odoben Brakwa,59.39752279693017,58.930969724358974,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Assin Central Municipal,Municipal,5.73294244999999,-1.31730368183195,31134,25993,18.1,42.8,12994,30642,15976,15650,26152,27674,1421,1880,88753,5.73294244999999,-1.31730368183195,88753,18.1,42.8,34.52503013982626,14.640631865965096,50.93236284970649,60.64696404628576,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Assin Central Municipal,65.10545500041187,66.06286055411273,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Assin North,District,5.82545685,-1.37392719579152,29624,21458,31.9,42,22155,38011,15174,14283,23465,23635,1830,2152,80539,5.82545685,-1.37392719579152,80539,31.9,42.0,47.195768509666124,27.50841207365376,49.75229391971591,58.4809843678218,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Assin North,55.960254669015605,54.94816466210656,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Assin South,District,5.52889644999999,-1.2709401638536,35793,29955,27.4,41.7,27205,38472,20688,19559,29056,31148,2339,3205,105995,5.52889644999999,-1.2709401638536,105995,27.4,41.7,36.296051700551914,25.66630501438747,50.86277654606349,56.798905608755135,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Assin South,59.75880554773856,59.42813479793509,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Awutu Senya West,District,5.61965885,-0.520145612112832,54977,45374,22.5,44.5,40850,92561,30859,30250,45045,49125,2315,3866,161460,5.61965885,-0.520145612112832,161460,22.5,44.5,57.327511457946244,25.300383996036167,51.55518394648829,58.3240431066518,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Awutu Senya West,56.5543958116017,56.26081845167047,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Awutu Senya East Municipal,Municipal,5.40379055,-0.518157686947431,84690,72118,10.6,42.9,24484,99262,39763,39956,72810,77543,2957,3498,236527,5.40379055,-0.518157686947431,236527,10.6,42.9,41.96645626080743,10.35146093257852,51.15568201516106,63.56695007335315,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Awutu Senya East Municipal,66.36599914297891,68.0085638194597,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Cape Coast Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,Metropolitan,5.1115501,-1.2484127,67570,65035,12.9,44.3,20509,51556,27622,27138,61645,64688,3523,2749,187365,5.1115501,-1.2484127,187365,12.9,44.3,27.516345101806632,10.946014463747233,50.476342966936194,67.42614682571451,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Cape Coast Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,68.72380555711509,70.42145320337842,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Effutu Municipal,Municipal,5.38339225,-0.597395635326539,27520,52842,21.7,44.2,20228,32581,14186,14268,39432,36492,1613,2825,108816,5.38339225,-0.597395635326539,108816,21.7,44.2,29.941368916335833,18.5891780620497,49.243677400382296,69.77282752536391,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Effutu Municipal,64.22608602271374,64.8000100325961,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Ekumfi,District,5.28914455,-0.908864632637807,17067,18338,31.5,45.6,18491,33670,10736,10600,14073,16944,1575,2813,56741,5.28914455,-0.908864632637807,56741,31.5,45.6,59.33980719409245,32.58842812075924,53.500995752630374,54.66417581642904,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Ekumfi,52.189127346783934,50.7761861787436,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Gomoa Central,District,5.47699369999999,-0.589745989100534,28310,24080,18.8,44.1,17534,37766,15233,14969,21856,26134,1504,2896,82592,5.47699369999999,-0.589745989100534,82592,18.8,44.1,45.725978302983336,21.229659046881054,53.27271406431615,58.10490120108484,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Gomoa Central,60.8914701223352,61.31005065685379,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Gomoa East,District,5.47699369999999,-0.589745989100534,101923,95607,14.4,43.7,43210,137369,55840,55327,93198,96950,3200,4182,308697,5.47699369999999,-0.589745989100534,308697,14.4,43.7,44.49962260728157,13.997544517763375,50.68368011350937,61.59697049210067,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Gomoa East,64.02225877619784,65.13706418379226,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Gomoa West,District,5.38725545,-0.833638570821268,41686,40125,28.3,44.4,39425,65362,24256,23445,32103,40607,3061,6040,129512,5.38725545,-0.833638570821268,129512,28.3,44.4,50.46791030946939,30.44119463833467,54.12008153684601,56.14151584409167,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Gomoa West,55.34183088573543,54.468195361200614,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Komenda Edina Eguafo Abirem Municipal,Municipal,5.1302015,-1.43995928979516,53152,53030,25.1,44.2,43258,75202,30377,29458,46636,50105,3557,5884,166017,5.1302015,-1.43995928979516,166017,25.1,44.2,45.29777071022847,26.05636772137793,51.46882548172778,58.271743255208804,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Komenda Edina Eguafo Abirem Municipal,58.29286936071437,57.97445915406584,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Mfantsiman Municipal,Municipal,5.27644145,-1.03472089878279,53153,55811,24,44.8,39497,67043,30395,29546,44225,55585,3413,5741,168905,5.27644145,-1.03472089878279,168905,24.0,44.8,39.69272668067848,23.384150854030374,53.80065717415115,59.09238921287114,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Mfantsiman Municipal,60.41241320665552,60.40517446516358,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Twifo Ati Morkwa,District,5.61529845,-1.57822136908747,31704,30813,34.1,42.7,27448,44389,19741,18593,28331,30151,1926,2109,100851,5.61529845,-1.57822136908747,100851,34.1,42.7,44.01443713993912,27.216388533579238,50.42389267334979,57.98851771425172,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Twifo Ati Morkwa,56.19999155448332,55.06730737650184,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Twifo Heman Lower Denkyira,District,5.49471475,-1.53636464977824,22649,19075,32.1,42.4,17101,36601,12495,11856,19039,19664,1349,1672,66075,5.49471475,-1.53636464977824,66075,32.1,42.4,55.3931138857359,25.881195611048053,50.233825198637916,58.574347332576615,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Twifo Heman Lower Denkyira,54.61011828843693,53.48480363628164,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Upper Denkyira East Municipal,Municipal,5.83523424999999,-1.73920835777296,34729,35865,24.3,43.8,23359,30732,20144,19403,33371,33259,1765,2199,110141,5.83523424999999,-1.73920835777296,110141,24.3,43.8,27.902415994044,21.208269400132558,49.80978927011739,60.495183446672904,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Upper Denkyira East Municipal,63.38359136323181,63.664953270441984,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Central,Upper Denkyira West,District,6.10783305,-2.06931071266353,33332,25814,24.5,43.6,25637,44004,16093,15786,30896,25738,1148,1364,91025,6.10783305,-2.06931071266353,91025,24.5,43.6,48.34276297720406,28.16478989288657,47.11672617412799,62.218071958253226,60.0,98.2,56.9,50.2,82.9,34.8,27.1,16.5,14.2,85.0,3.6,13.9,19.3,44.4,76.6,72.9,85.8,Upper Denkyira West,57.2467605925275,56.83908967697177,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
